t,ready,unacked,depth
1782909343268,0,0,0
1782909343774,0,0,0
1782909344279,0,0,0
1782909344787,0,0,0
1782909345294,0,0,0
1782909345802,0,0,0
1782909346311,0,0,0
1782909346818,0,0,0
1782909347322,0,0,0
1782909347828,0,0,0
1782909348334,0,0,0
1782909348841,0,0,0
1782909349349,0,0,0
1782909349852,0,0,0
1782909350356,0,0,0
1782909350863,11,1,12
1782909351370,11,1,12
1782909351877,11,1,12
1782909352382,11,1,12
1782909352886,11,1,12
1782909353391,11,1,12
1782909353896,11,1,12
1782909354403,11,1,12
1782909354909,11,1,12
1782909355413,11,1,12
1782909355918,8,1,9
1782909356423,8,1,9
1782909356931,8,1,9
1782909357438,8,1,9
1782909357942,8,1,9
1782909358448,8,1,9
1782909358952,8,1,9
1782909359457,8,1,9
1782909359961,8,1,9
1782909360489,8,1,9
1782909360996,5,1,6
1782909361507,5,1,6
1782909362013,5,1,6
1782909362518,5,1,6
1782909363025,5,1,6
1782909363530,5,1,6
1782909364034,5,1,6
1782909364538,5,1,6
1782909365043,5,1,6
1782909365547,5,1,6
1782909366054,5,1,6
1782909366559,5,1,6
1782909367064,5,1,6
1782909367569,5,1,6
1782909368075,5,1,6
1782909368578,5,1,6
1782909369083,5,1,6
1782909369590,5,1,6
1782909370094,5,1,6